agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent000,0,26,16,26,26.0,self,3
agent001,0,33,19,33,33.0,self,3
agent002,0,5,33,5,5.0,self,1
agent003,0,23,16,23,23.0,self,1
agent004,0,23,29,23,23.0,self,3
agent005,0,18,27,18,18.0,self,1
agent006,0,5,19,5,5.0,self,1
agent007,0,29,39,29,29.0,self,1
agent008,0,11,16,11,11.0,self,3
agent009,0,38,3,38,38.0,self,1
agent00a,0,31,15,31,31.0,self,1
agent00b,0,39,18,39,39.0,self,2
agent00c,0,6,39,6,6.0,self,1
agent00d,0,20,40,20,20.0,self,2
agent00e,0,32,19,32,32.0,self,3
agent00f,0,19,19,19,19.0,self,2
agent010,0,39,19,39,39.0,self,3
agent011,0,24,15,24,24.0,self,1
agent012,0,13,3,13,13.0,self,2
agent013,0,33,19,33,33.0,self,1
agent014,0,10,40,10,10.0,self,3
agent015,0,28,2,28,28.0,self,3
agent016,0,38,16,38,38.0,self,1
agent017,0,5,27,5,5.0,self,3
agent018,0,18,3,18,18.0,self,2
agent019,0,27,16,27,27.0,self,2
agent01a,0,18,26,18,18.0,self,3
agent01b,0,25,16,25,25.0,self,3
agent01c,0,23,27,23,23.0,self,1
agent01d,0,29,23,29,29.0,self,3
agent01e,0,19,3,19,19.0,self,2
agent01f,0,10,23,10,10.0,self,2
agent020,0,16,19,16,16.0,self,2
agent021,0,9,8,9,9.0,self,3
agent022,0,15,19,15,15.0,self,3
agent023,0,33,19,33,33.0,self,1
agent024,0,13,19,13,13.0,self,1
agent025,0,2,18,2,2.0,self,1
agent026,0,6,5,6,6.0,self,2
agent027,0,16,18,16,16.0,self,2
agent028,0,27,8,27,27.0,self,1
agent029,0,41,20,41,41.0,self,2
agent02a,0,4,39,4,4.0,self,2
agent02b,0,25,33,25,25.0,self,1
agent02c,0,22,19,22,22.0,self,3
agent02d,0,29,5,29,29.0,self,3
agent02e,0,19,40,19,19.0,self,1
agent02f,0,20,15,20,20.0,self,2
agent030,0,36,15,36,36.0,self,1
agent031,0,25,40,25,25.0,self,3
agent032,0,26,19,26,26.0,self,1
agent033,0,15,36,15,15.0,self,3
agent034,0,3,18,3,3.0,self,1
agent035,0,19,23,19,19.0,self,1
agent036,0,20,25,20,20.0,self,2
agent037,0,33,25,33,33.0,self,3
agent038,0,21,3,21,21.0,self,3
agent039,0,36,5,36,36.0,self,3
agent03a,0,32,6,32,32.0,self,2
agent03b,0,8,34,8,8.0,self,3
